Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Carlos Hyde (16006202),Carlos Hyde,16006202,RB/FLEX,5300,LAR@SEA 12/27/2020 04:25PM ET,SEA,9.03
WR,CeeDee Lamb (16006394),CeeDee Lamb,16006394,WR/FLEX,5300,PHI@DAL 12/27/2020 04:25PM ET,DAL,13.69
QB,Alex Smith (16006114),Alex Smith,16006114,QB,5200,CAR@WAS 12/27/2020 01:00PM ET,WAS,10.44
QB,Dwayne Haskins Jr. (16006115),Dwayne Haskins Jr.,16006115,QB,5200,CAR@WAS 12/27/2020 01:00PM ET,WAS,13
QB,Gardner Minshew II (16006113),Gardner Minshew II,16006113,QB,5200,CHI@JAX 12/27/2020 01:00PM ET,JAX,19.85
WR,Russell Gage (16006396),Russell Gage,16006396,WR/FLEX,5100,ATL@KC 12/27/2020 01:00PM ET,ATL,10.90
QB,Nick Foles (16006116),Nick Foles,16006116,QB,5100,CHI@JAX 12/27/2020 01:00PM ET,CHI,14.42
RB,Nyheim Hines (16006206),Nyheim Hines,16006206,RB/FLEX,5000,IND@PIT 12/27/2020 01:00PM ET,IND,12.15
WR,Sammy Watkins (16006398),Sammy Watkins,16006398,WR/FLEX,5000,ATL@KC 12/27/2020 01:00PM ET,KC,9.67
QB,Drew Lock (16006118),Drew Lock,16006118,QB,5000,DEN@LAC 12/27/2020 04:05PM ET,DEN,14.73
QB,Sam Darnold (16006117),Sam Darnold,16006117,QB,5000,CLE@NYJ 12/27/2020 01:00PM ET,NYJ,11.71
QB,Daniel Jones (16006119),Daniel Jones,16006119,QB,5000,NYG@BAL 12/27/2020 01:00PM ET,NYG,13.73
QB,Colt McCoy (16006120),Colt McCoy,16006120,QB,5000,NYG@BAL 12/27/2020 01:00PM ET,NYG,5.05
RB,Duke Johnson (16006208),Duke Johnson,16006208,RB/FLEX,5000,CIN@HOU 12/27/2020 01:00PM ET,HOU,7.86
WR,Curtis Samuel (16006402),Curtis Samuel,16006402,WR/FLEX,4900,CAR@WAS 12/27/2020 01:00PM ET,CAR,13.48
TE,Logan Thomas (16006640),Logan Thomas,16006640,TE/FLEX,4900,CAR@WAS 12/27/2020 01:00PM ET,WAS,10.97
QB,Joe Flacco (16006121),Joe Flacco,16006121,QB,4900,CLE@NYJ 12/27/2020 01:00PM ET,NYJ,11.55
WR,Tyler Boyd (16006400),Tyler Boyd,16006400,WR/FLEX,4900,CIN@HOU 12/27/2020 01:00PM ET,CIN,14.03
RB,Boston Scott (16006210),Boston Scott,16006210,RB/FLEX,4900,PHI@DAL 12/27/2020 04:25PM ET,PHI,6
QB,Brett Rypien (16006126),Brett Rypien,16006126,QB,4800,DEN@LAC 12/27/2020 04:05PM ET,DEN,7.65
