Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Johnny Boychuk (15286219),Johnny Boychuk,15286219,CPT,6000,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.77
D,Travis Sanheim (15286121),Travis Sanheim,15286121,FLEX,5800,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.90
C,Derek Grant (15286220),Derek Grant,15286220,CPT,5700,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.09
LW,Scott Laughton (15286122),Scott Laughton,15286122,FLEX,5600,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.92
LW,Joel Farabee (15286123),Joel Farabee,15286123,FLEX,5400,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.68
LW,Derick Brassard (15286221),Derick Brassard,15286221,CPT,5400,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.32
D,Andy Greene (15286124),Andy Greene,15286124,FLEX,5200,NYI@PHI 09/05/2020 07:30PM ET,NYI,7.01
D,Justin Braun (15286222),Justin Braun,15286222,CPT,5100,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.70
D,Scott Mayfield (15286125),Scott Mayfield,15286125,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.71
G,Alex Lyon (15286126),Alex Lyon,15286126,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.83
G,Christopher Gibson (15286127),Christopher Gibson,15286127,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
G,Kirill Ustimenko (15286128),Kirill Ustimenko,15286128,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
G,Ilya Sorokin (15286129),Ilya Sorokin,15286129,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
G,Jakub Skarek (15286130),Jakub Skarek,15286130,FLEX,5000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Nick Leddy (15286131),Nick Leddy,15286131,FLEX,4800,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.15
RW,Nicolas Aube-Kubel (15286223),Nicolas Aube-Kubel,15286223,CPT,4800,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.10
LW,Oskar Lindblom (15286132),Oskar Lindblom,15286132,FLEX,4600,NYI@PHI 09/05/2020 07:30PM ET,PHI,8.73
LW,Michael Raffl (15286224),Michael Raffl,15286224,CPT,4500,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.06
D,Shayne Gostisbehere (15286133),Shayne Gostisbehere,15286133,FLEX,4400,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.03
D,Philippe Myers (15286134),Philippe Myers,15286134,FLEX,4200,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.90
C,Casey Cizikas (15286225),Casey Cizikas,15286225,CPT,4200,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.02
D,Johnny Boychuk (15286135),Johnny Boychuk,15286135,FLEX,4000,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.77
D,Robert Hagg (15286226),Robert Hagg,15286226,CPT,3900,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.61
C,Derek Grant (15286136),Derek Grant,15286136,FLEX,3800,NYI@PHI 09/05/2020 07:30PM ET,PHI,6.09
LW,Derick Brassard (15286137),Derick Brassard,15286137,FLEX,3600,NYI@PHI 09/05/2020 07:30PM ET,NYI,6.32
RW,Tyler Pitlick (15286227),Tyler Pitlick,15286227,CPT,3600,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.74
D,Justin Braun (15286138),Justin Braun,15286138,FLEX,3400,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.70
C,Nate Thompson (15286228),Nate Thompson,15286228,CPT,3300,NYI@PHI 09/05/2020 07:30PM ET,PHI,3.88
RW,Nicolas Aube-Kubel (15286139),Nicolas Aube-Kubel,15286139,FLEX,3200,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.10
LW,Michael Raffl (15286140),Michael Raffl,15286140,FLEX,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.06
D,Thomas Hickey (15286229),Thomas Hickey,15286229,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Noah Dobson (15286230),Noah Dobson,15286230,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.13
D,Mark Friedman (15286231),Mark Friedman,15286231,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.42
D,Andy Welinski (15286232),Andy Welinski,15286232,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Egor Zamula (15286233),Egor Zamula,15286233,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Sebastian Aho (15286234),Sebastian Aho,15286234,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
LW,Michael Dal Colle (15286235),Michael Dal Colle,15286235,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.41
C,Andrew Ladd (15286236),Andrew Ladd,15286236,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4
LW,Tom Kuhnhackl (15286237),Tom Kuhnhackl,15286237,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.00
RW,Andy Andreoff (15286238),Andy Andreoff,15286238,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.23
RW,Ross Johnston (15286239),Ross Johnston,15286239,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.19
C,Morgan Frost (15286240),Morgan Frost,15286240,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.78
C,Otto Koivula (15286241),Otto Koivula,15286241,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0.93
RW,Connor Bunnaman (15286242),Connor Bunnaman,15286242,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.90
RW,Leo Komarov (15286243),Leo Komarov,15286243,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.28
RW,Cal Clutterbuck (15286244),Cal Clutterbuck,15286244,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.17
LW,Matt Martin (15286245),Matt Martin,15286245,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.40
C,Nolan Patrick (15286246),Nolan Patrick,15286246,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
RW,Kieffer Bellows (15286247),Kieffer Bellows,15286247,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.46
LW,Matthew Strome (15286248),Matthew Strome,15286248,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Jordan Schmaltz (15286249),Jordan Schmaltz,15286249,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Joshua Ho-Sang (15286250),Joshua Ho-Sang,15286250,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Samuel Morin (15286251),Samuel Morin,15286251,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Cole Bardreau (15286252),Cole Bardreau,15286252,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.98
C,German Rubtsov (15286253),German Rubtsov,15286253,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.68
D,Grant Hutton (15286254),Grant Hutton,15286254,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Travis St. Denis (15286255),Travis St. Denis,15286255,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Mason Jobst (15286256),Mason Jobst,15286256,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Maxim Sushko (15286257),Maxim Sushko,15286257,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
LW,Carsen Twarynski (15286258),Carsen Twarynski,15286258,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.66
D,Seth Helgeson (15286259),Seth Helgeson,15286259,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Tanner Fritz (15286260),Tanner Fritz,15286260,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Nate Prosser (15286261),Nate Prosser,15286261,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Mikhail S. Vorobyov (15286262),Mikhail S. Vorobyov,15286262,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.24
LW,David Kase (15286263),David Kase,15286263,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.88
RW,Chris Stewart (15286264),Chris Stewart,15286264,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.11
RW,Oliver Wahlstrom (15286265),Oliver Wahlstrom,15286265,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.08
RW,Simon Holmstrom (15286266),Simon Holmstrom,15286266,CPT,3000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Casey Cizikas (15286141),Casey Cizikas,15286141,FLEX,2800,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.02
D,Robert Hagg (15286142),Robert Hagg,15286142,FLEX,2600,NYI@PHI 09/05/2020 07:30PM ET,PHI,5.61
RW,Tyler Pitlick (15286143),Tyler Pitlick,15286143,FLEX,2400,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.74
C,Nate Thompson (15286144),Nate Thompson,15286144,FLEX,2200,NYI@PHI 09/05/2020 07:30PM ET,PHI,3.88
D,Thomas Hickey (15286145),Thomas Hickey,15286145,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Noah Dobson (15286146),Noah Dobson,15286146,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.13
D,Mark Friedman (15286147),Mark Friedman,15286147,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.42
D,Andy Welinski (15286148),Andy Welinski,15286148,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Egor Zamula (15286149),Egor Zamula,15286149,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Sebastian Aho (15286150),Sebastian Aho,15286150,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
LW,Michael Dal Colle (15286151),Michael Dal Colle,15286151,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.41
C,Andrew Ladd (15286152),Andrew Ladd,15286152,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4
LW,Tom Kuhnhackl (15286153),Tom Kuhnhackl,15286153,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.00
RW,Andy Andreoff (15286154),Andy Andreoff,15286154,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.23
RW,Ross Johnston (15286155),Ross Johnston,15286155,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.19
C,Morgan Frost (15286156),Morgan Frost,15286156,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,4.78
C,Otto Koivula (15286157),Otto Koivula,15286157,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0.93
RW,Connor Bunnaman (15286158),Connor Bunnaman,15286158,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.90
RW,Leo Komarov (15286159),Leo Komarov,15286159,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.28
RW,Cal Clutterbuck (15286160),Cal Clutterbuck,15286160,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,4.17
LW,Matt Martin (15286161),Matt Martin,15286161,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,3.40
C,Nolan Patrick (15286162),Nolan Patrick,15286162,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
RW,Kieffer Bellows (15286163),Kieffer Bellows,15286163,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,5.46
LW,Matthew Strome (15286164),Matthew Strome,15286164,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
D,Jordan Schmaltz (15286165),Jordan Schmaltz,15286165,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Joshua Ho-Sang (15286166),Joshua Ho-Sang,15286166,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Samuel Morin (15286167),Samuel Morin,15286167,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Cole Bardreau (15286168),Cole Bardreau,15286168,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.98
C,German Rubtsov (15286169),German Rubtsov,15286169,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.68
D,Grant Hutton (15286170),Grant Hutton,15286170,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Travis St. Denis (15286171),Travis St. Denis,15286171,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Mason Jobst (15286172),Mason Jobst,15286172,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
RW,Maxim Sushko (15286173),Maxim Sushko,15286173,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
LW,Carsen Twarynski (15286174),Carsen Twarynski,15286174,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.66
D,Seth Helgeson (15286175),Seth Helgeson,15286175,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
C,Tanner Fritz (15286176),Tanner Fritz,15286176,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
D,Nate Prosser (15286177),Nate Prosser,15286177,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,0
C,Mikhail S. Vorobyov (15286178),Mikhail S. Vorobyov,15286178,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.24
LW,David Kase (15286179),David Kase,15286179,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,2.88
RW,Chris Stewart (15286180),Chris Stewart,15286180,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,PHI,1.11
RW,Oliver Wahlstrom (15286181),Oliver Wahlstrom,15286181,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,2.08
RW,Simon Holmstrom (15286182),Simon Holmstrom,15286182,FLEX,2000,NYI@PHI 09/05/2020 07:30PM ET,NYI,0
